Starting training on Pendulum-v1...
Episode: 227, Steps: 200, Sigma: 0.903, Reward: -1491.35
Episode: 228, Steps: 200, Sigma: 0.903, Reward: -949.26
Episode: 229, Steps: 200, Sigma: 0.903, Reward: -1497.31
Episode: 230, Steps: 200, Sigma: 0.902, Reward: -1655.60
Episode: 231, Steps: 200, Sigma: 0.902, Reward: -1671.48
Episode: 232, Steps: 200, Sigma: 0.901, Reward: -1384.57
Episode: 233, Steps: 200, Sigma: 0.901, Reward: -1496.09
Episode: 234, Steps: 200, Sigma: 0.901, Reward: -1072.76
Episode: 235, Steps: 200, Sigma: 0.900, Reward: -1179.27
Episode: 236, Steps: 200, Sigma: 0.900, Reward: -1518.33
Episode: 237, Steps: 200, Sigma: 0.899, Reward: -1453.69
Episode: 238, Steps: 200, Sigma: 0.899, Reward: -1661.12
Episode: 239, Steps: 200, Sigma: 0.899, Reward: -1382.74
Episode: 240, Steps: 200, Sigma: 0.898, Reward: -1589.24
Episode: 241, Steps: 200, Sigma: 0.898, Reward: -1618.43
Episode: 242, Steps: 200, Sigma: 0.897, Reward: -1678.62
Episode: 243, Steps: 200, Sigma: 0.897, Reward: -1507.89
Episode: 244, Steps: 200, Sigma: 0.897, Reward: -1345.40
Episode: 245, Steps: 200, Sigma: 0.896, Reward: -1378.50
Episode: 246, Steps: 200, Sigma: 0.896, Reward: -1389.96
Episode: 247, Steps: 200, Sigma: 0.895, Reward: -1503.61
Episode: 248, Steps: 200, Sigma: 0.895, Reward: -1615.11
Episode: 249, Steps: 200, Sigma: 0.895, Reward: -1538.31
Episode: 250, Steps: 200, Sigma: 0.894, Reward: -1329.87
Episode: 251, Steps: 200, Sigma: 0.894, Reward: -1495.39
Episode: 252, Steps: 200, Sigma: 0.893, Reward: -1611.18
Episode: 253, Steps: 200, Sigma: 0.893, Reward: -1366.21
Episode: 254, Steps: 200, Sigma: 0.893, Reward: -1496.81
Episode: 255, Steps: 200, Sigma: 0.892, Reward: -1505.92
Episode: 256, Steps: 200, Sigma: 0.892, Reward: -1474.81
Episode: 257, Steps: 200, Sigma: 0.891, Reward: -1466.58
Episode: 258, Steps: 200, Sigma: 0.891, Reward: -1642.14
Episode: 259, Steps: 200, Sigma: 0.891, Reward: -1436.14
Episode: 260, Steps: 200, Sigma: 0.890, Reward: -1558.41
Episode: 261, Steps: 200, Sigma: 0.890, Reward: -1339.87
Episode: 262, Steps: 200, Sigma: 0.889, Reward: -1636.56
Episode: 263, Steps: 200, Sigma: 0.889, Reward: -1208.38
Episode: 264, Steps: 200, Sigma: 0.889, Reward: -1492.14
Episode: 265, Steps: 200, Sigma: 0.888, Reward: -953.19
Episode: 266, Steps: 200, Sigma: 0.888, Reward: -1582.02
Episode: 267, Steps: 200, Sigma: 0.888, Reward: -1577.74
Episode: 268, Steps: 200, Sigma: 0.887, Reward: -1162.42
Episode: 269, Steps: 200, Sigma: 0.887, Reward: -1470.92
Episode: 270, Steps: 200, Sigma: 0.886, Reward: -1627.06
Episode: 271, Steps: 200, Sigma: 0.886, Reward: -1062.20
Episode: 272, Steps: 200, Sigma: 0.886, Reward: -1607.41
Episode: 273, Steps: 200, Sigma: 0.885, Reward: -1512.72
Episode: 274, Steps: 200, Sigma: 0.885, Reward: -1672.09
Episode: 275, Steps: 200, Sigma: 0.884, Reward: -1575.25
Episode: 276, Steps: 200, Sigma: 0.884, Reward: -1679.71
Episode: 277, Steps: 200, Sigma: 0.884, Reward: -1584.45
Episode: 278, Steps: 200, Sigma: 0.883, Reward: -1093.66
Episode: 279, Steps: 200, Sigma: 0.883, Reward: -1592.44
Episode: 280, Steps: 200, Sigma: 0.882, Reward: -1055.75
Episode: 281, Steps: 200, Sigma: 0.882, Reward: -1448.05
Episode: 282, Steps: 200, Sigma: 0.882, Reward: -1623.87
Episode: 283, Steps: 200, Sigma: 0.881, Reward: -1645.07
Episode: 284, Steps: 200, Sigma: 0.881, Reward: -1177.02
Episode: 285, Steps: 200, Sigma: 0.880, Reward: -1343.72
Episode: 286, Steps: 200, Sigma: 0.880, Reward: -1605.25
Episode: 287, Steps: 200, Sigma: 0.880, Reward: -1492.59
Episode: 288, Steps: 200, Sigma: 0.879, Reward: -1498.49
Episode: 289, Steps: 200, Sigma: 0.879, Reward: -1676.35
Episode: 290, Steps: 200, Sigma: 0.879, Reward: -719.75
Episode: 291, Steps: 200, Sigma: 0.878, Reward: -1199.10
Episode: 292, Steps: 200, Sigma: 0.878, Reward: -1371.95
Episode: 293, Steps: 200, Sigma: 0.877, Reward: -1653.89
Episode: 294, Steps: 200, Sigma: 0.877, Reward: -1490.95
Episode: 295, Steps: 200, Sigma: 0.877, Reward: -1242.62
Episode: 296, Steps: 200, Sigma: 0.876, Reward: -1496.13
Episode: 297, Steps: 200, Sigma: 0.876, Reward: -1658.65
Episode: 298, Steps: 200, Sigma: 0.875, Reward: -1352.61
Episode: 299, Steps: 200, Sigma: 0.875, Reward: -1211.13
Episode: 300, Steps: 200, Sigma: 0.875, Reward: -1175.96
Episode: 301, Steps: 200, Sigma: 0.874, Reward: -1658.08
Episode: 302, Steps: 200, Sigma: 0.874, Reward: -1316.20
Episode: 303, Steps: 200, Sigma: 0.873, Reward: -1491.37
Episode: 304, Steps: 200, Sigma: 0.873, Reward: -1269.86
Episode: 305, Steps: 200, Sigma: 0.873, Reward: -1621.97
Episode: 306, Steps: 200, Sigma: 0.872, Reward: -1499.72
Episode: 307, Steps: 200, Sigma: 0.872, Reward: -1349.30
Episode: 308, Steps: 200, Sigma: 0.872, Reward: -1609.15
