Starting training on Pendulum-v1...
Episode: 387, Steps: 200, Total Reward: -1313.05
Episode: 388, Steps: 200, Total Reward: -1436.88
Episode: 389, Steps: 200, Total Reward: -1165.99
Episode: 390, Steps: 200, Total Reward: -1710.85
Episode: 391, Steps: 200, Total Reward: -1356.59
Episode: 392, Steps: 200, Total Reward: -1484.96
Episode: 393, Steps: 200, Total Reward: -1679.59
Episode: 394, Steps: 200, Total Reward: -1476.24
Episode: 395, Steps: 200, Total Reward: -1510.85
Episode: 396, Steps: 200, Total Reward: -1235.79
Episode: 397, Steps: 200, Total Reward: -1398.05
Episode: 398, Steps: 200, Total Reward: -1240.00
Episode: 399, Steps: 200, Total Reward: -1401.16
Episode: 400, Steps: 200, Total Reward: -1236.68
Episode: 401, Steps: 200, Total Reward: -1408.46
Episode: 402, Steps: 200, Total Reward: -1391.50
Episode: 403, Steps: 200, Total Reward: -1390.59
Episode: 404, Steps: 200, Total Reward: -1342.81
Episode: 405, Steps: 200, Total Reward: -1412.45
Episode: 406, Steps: 200, Total Reward: -1365.86
Episode: 407, Steps: 200, Total Reward: -1573.70
Episode: 408, Steps: 200, Total Reward: -1570.39
Episode: 409, Steps: 200, Total Reward: -1366.41
Episode: 410, Steps: 200, Total Reward: -1218.35
Episode: 411, Steps: 200, Total Reward: -1564.07
Episode: 412, Steps: 200, Total Reward: -1703.12
Episode: 413, Steps: 200, Total Reward: -1768.48
Episode: 414, Steps: 200, Total Reward: -1421.53
Episode: 415, Steps: 200, Total Reward: -1292.40
Episode: 416, Steps: 200, Total Reward: -1649.92
Episode: 417, Steps: 200, Total Reward: -1117.97
Episode: 418, Steps: 200, Total Reward: -1551.12
Episode: 419, Steps: 200, Total Reward: -1635.99
Episode: 420, Steps: 200, Total Reward: -1626.40
Episode: 421, Steps: 200, Total Reward: -1770.28
Episode: 422, Steps: 200, Total Reward: -1549.32
Episode: 423, Steps: 200, Total Reward: -1651.81
Episode: 424, Steps: 200, Total Reward: -1739.48
Episode: 425, Steps: 200, Total Reward: -1511.53
Episode: 426, Steps: 200, Total Reward: -1639.91
Episode: 427, Steps: 200, Total Reward: -1468.26
Episode: 428, Steps: 200, Total Reward: -1460.04
Episode: 429, Steps: 200, Total Reward: -1525.92
Episode: 430, Steps: 200, Total Reward: -1502.94
Episode: 431, Steps: 200, Total Reward: -1307.51
Episode: 432, Steps: 200, Total Reward: -1322.11
Episode: 433, Steps: 200, Total Reward: -1759.53
Episode: 434, Steps: 200, Total Reward: -1387.97
Episode: 435, Steps: 200, Total Reward: -1546.06
Episode: 436, Steps: 200, Total Reward: -1471.93
Episode: 437, Steps: 200, Total Reward: -1539.31
Episode: 438, Steps: 200, Total Reward: -1564.38
Episode: 439, Steps: 200, Total Reward: -1715.55
Episode: 440, Steps: 200, Total Reward: -1635.89
Episode: 441, Steps: 200, Total Reward: -1640.07
Episode: 442, Steps: 200, Total Reward: -1482.26
Episode: 443, Steps: 200, Total Reward: -1693.54
Episode: 444, Steps: 200, Total Reward: -1732.90
Episode: 445, Steps: 200, Total Reward: -1354.62
Episode: 446, Steps: 200, Total Reward: -1614.21
Episode: 447, Steps: 200, Total Reward: -1690.06
Episode: 448, Steps: 200, Total Reward: -1479.30
Episode: 449, Steps: 200, Total Reward: -1692.16
Episode: 450, Steps: 200, Total Reward: -1573.63
Episode: 451, Steps: 200, Total Reward: -1528.41
Episode: 452, Steps: 200, Total Reward: -1590.02
Episode: 453, Steps: 200, Total Reward: -1515.16
Episode: 454, Steps: 200, Total Reward: -1658.63
Episode: 455, Steps: 200, Total Reward: -1608.98
Episode: 456, Steps: 200, Total Reward: -1565.78
Episode: 457, Steps: 200, Total Reward: -1606.95
Episode: 458, Steps: 200, Total Reward: -1500.68
Episode: 459, Steps: 200, Total Reward: -1765.34
Episode: 460, Steps: 200, Total Reward: -1717.83
Episode: 461, Steps: 200, Total Reward: -1462.50
Episode: 462, Steps: 200, Total Reward: -1510.68
Episode: 463, Steps: 200, Total Reward: -1666.05
Episode: 464, Steps: 200, Total Reward: -1421.60
Episode: 465, Steps: 200, Total Reward: -1302.09
Episode: 466, Steps: 200, Total Reward: -1527.82
Episode: 467, Steps: 200, Total Reward: -1491.94
Episode: 468, Steps: 200, Total Reward: -1458.36
Episode: 469, Steps: 200, Total Reward: -1178.38
Episode: 470, Steps: 200, Total Reward: -1387.71
Episode: 471, Steps: 200, Total Reward: -1647.05
Episode: 472, Steps: 200, Total Reward: -1421.89
Episode: 473, Steps: 200, Total Reward: -1550.64
Episode: 474, Steps: 200, Total Reward: -1728.07
Episode: 475, Steps: 200, Total Reward: -1547.52
Episode: 476, Steps: 200, Total Reward: -1481.70
Episode: 477, Steps: 200, Total Reward: -1607.98
Episode: 478, Steps: 200, Total Reward: -1303.01
Episode: 479, Steps: 200, Total Reward: -1518.82
Episode: 480, Steps: 200, Total Reward: -1592.45
Episode: 481, Steps: 200, Total Reward: -1553.09
Episode: 482, Steps: 200, Total Reward: -1517.90
Episode: 483, Steps: 200, Total Reward: -1766.17
Episode: 484, Steps: 200, Total Reward: -1564.66
Episode: 485, Steps: 200, Total Reward: -1538.36
Episode: 486, Steps: 200, Total Reward: -1377.43
Episode: 487, Steps: 200, Total Reward: -1665.39
Episode: 488, Steps: 200, Total Reward: -1530.60
Episode: 489, Steps: 200, Total Reward: -1647.15
Episode: 490, Steps: 200, Total Reward: -1304.31
Episode: 491, Steps: 200, Total Reward: -1687.29
Episode: 492, Steps: 200, Total Reward: -1645.06
Episode: 493, Steps: 200, Total Reward: -1567.18
Episode: 494, Steps: 200, Total Reward: -1729.80
Episode: 495, Steps: 200, Total Reward: -1565.30
Episode: 496, Steps: 200, Total Reward: -1715.13
Episode: 497, Steps: 200, Total Reward: -1597.92
Episode: 498, Steps: 200, Total Reward: -1495.60
Episode: 499, Steps: 200, Total Reward: -1699.18
Episode: 500, Steps: 200, Total Reward: -1698.21
Episode: 501, Steps: 200, Total Reward: -1444.15
Episode: 502, Steps: 200, Total Reward: -1115.26
Episode: 503, Steps: 200, Total Reward: -1685.80
Episode: 504, Steps: 200, Total Reward: -1537.53
Episode: 505, Steps: 200, Total Reward: -1599.04
Episode: 506, Steps: 200, Total Reward: -1054.46
Episode: 507, Steps: 200, Total Reward: -1706.01
Episode: 508, Steps: 200, Total Reward: -1109.60
Episode: 509, Steps: 200, Total Reward: -1318.23
Episode: 510, Steps: 200, Total Reward: -1373.07
Episode: 511, Steps: 200, Total Reward: -1639.94
Episode: 512, Steps: 200, Total Reward: -1396.29
Episode: 513, Steps: 200, Total Reward: -1694.74
Episode: 514, Steps: 200, Total Reward: -1423.51
Episode: 515, Steps: 200, Total Reward: -1672.11
Episode: 516, Steps: 200, Total Reward: -1647.71
Episode: 517, Steps: 200, Total Reward: -1266.14
Episode: 518, Steps: 200, Total Reward: -1681.34
Episode: 519, Steps: 200, Total Reward: -1389.08
Episode: 520, Steps: 200, Total Reward: -1579.40
Episode: 521, Steps: 200, Total Reward: -940.15
Episode: 522, Steps: 200, Total Reward: -1675.55
Episode: 523, Steps: 200, Total Reward: -1098.13
Episode: 524, Steps: 200, Total Reward: -1472.30
Episode: 525, Steps: 200, Total Reward: -1365.97
Episode: 526, Steps: 200, Total Reward: -1013.55
Episode: 527, Steps: 200, Total Reward: -1364.36
Episode: 528, Steps: 200, Total Reward: -1200.53
Episode: 529, Steps: 200, Total Reward: -1457.95
Episode: 530, Steps: 200, Total Reward: -1100.19
Episode: 531, Steps: 200, Total Reward: -1559.43
Episode: 532, Steps: 200, Total Reward: -1106.33
Episode: 533, Steps: 200, Total Reward: -1344.03
Episode: 534, Steps: 200, Total Reward: -1680.56
Episode: 535, Steps: 200, Total Reward: -1432.58
