Starting training on Pendulum-v1...
Episode: 187, Steps: 200, Sigma: 0.967, Reward: -1484.42
Episode: 188, Steps: 200, Sigma: 0.967, Reward: -1511.77
Episode: 189, Steps: 200, Sigma: 0.967, Reward: -1492.50
Episode: 190, Steps: 200, Sigma: 0.966, Reward: -1573.31
Episode: 191, Steps: 200, Sigma: 0.966, Reward: -1556.14
Episode: 192, Steps: 200, Sigma: 0.966, Reward: -1461.47
Episode: 193, Steps: 200, Sigma: 0.966, Reward: -1553.19
Episode: 194, Steps: 200, Sigma: 0.966, Reward: -1667.02
Episode: 195, Steps: 200, Sigma: 0.966, Reward: -1585.15
Episode: 196, Steps: 200, Sigma: 0.965, Reward: -1549.08
Episode: 197, Steps: 200, Sigma: 0.965, Reward: -1527.46
Episode: 198, Steps: 200, Sigma: 0.965, Reward: -1519.77
Episode: 199, Steps: 200, Sigma: 0.965, Reward: -1606.60
Episode: 200, Steps: 200, Sigma: 0.965, Reward: -1618.20
Episode: 201, Steps: 200, Sigma: 0.965, Reward: -1551.51
Episode: 202, Steps: 200, Sigma: 0.964, Reward: -1514.79
Episode: 203, Steps: 200, Sigma: 0.964, Reward: -1556.47
Episode: 204, Steps: 200, Sigma: 0.964, Reward: -1640.29
Episode: 205, Steps: 200, Sigma: 0.964, Reward: -1534.92
Episode: 206, Steps: 200, Sigma: 0.964, Reward: -1570.38
Episode: 207, Steps: 200, Sigma: 0.964, Reward: -1630.02
Episode: 208, Steps: 200, Sigma: 0.963, Reward: -1533.05
Episode: 209, Steps: 200, Sigma: 0.963, Reward: -1567.76
Episode: 210, Steps: 200, Sigma: 0.963, Reward: -1582.41
Episode: 211, Steps: 200, Sigma: 0.963, Reward: -1531.79
Episode: 212, Steps: 200, Sigma: 0.963, Reward: -1576.60
Episode: 213, Steps: 200, Sigma: 0.962, Reward: -1666.75
Episode: 214, Steps: 200, Sigma: 0.962, Reward: -1663.10
Episode: 215, Steps: 200, Sigma: 0.962, Reward: -1653.93
Episode: 216, Steps: 200, Sigma: 0.962, Reward: -1607.24
Episode: 217, Steps: 200, Sigma: 0.962, Reward: -1562.61
Episode: 218, Steps: 200, Sigma: 0.962, Reward: -1677.46
Episode: 219, Steps: 200, Sigma: 0.961, Reward: -1634.93
Episode: 220, Steps: 200, Sigma: 0.961, Reward: -1536.07
Episode: 221, Steps: 200, Sigma: 0.961, Reward: -1592.23
Episode: 222, Steps: 200, Sigma: 0.961, Reward: -1669.92
Episode: 223, Steps: 200, Sigma: 0.961, Reward: -1559.11
Episode: 224, Steps: 200, Sigma: 0.961, Reward: -1612.52
Episode: 225, Steps: 200, Sigma: 0.960, Reward: -1416.40
Episode: 226, Steps: 200, Sigma: 0.960, Reward: -1523.02
Episode: 227, Steps: 200, Sigma: 0.960, Reward: -1632.48
Episode: 228, Steps: 200, Sigma: 0.960, Reward: -1600.72
Episode: 229, Steps: 200, Sigma: 0.960, Reward: -1592.17
Episode: 230, Steps: 200, Sigma: 0.960, Reward: -1662.42
Episode: 231, Steps: 200, Sigma: 0.959, Reward: -1632.65
Episode: 232, Steps: 200, Sigma: 0.959, Reward: -1681.14
Episode: 233, Steps: 200, Sigma: 0.959, Reward: -1641.53
Episode: 234, Steps: 200, Sigma: 0.959, Reward: -1656.71
Episode: 235, Steps: 200, Sigma: 0.959, Reward: -1666.71
Episode: 236, Steps: 200, Sigma: 0.959, Reward: -1598.09
Episode: 237, Steps: 200, Sigma: 0.958, Reward: -1575.75
Episode: 238, Steps: 200, Sigma: 0.958, Reward: -1652.47
Episode: 239, Steps: 200, Sigma: 0.958, Reward: -1668.64
Episode: 240, Steps: 200, Sigma: 0.958, Reward: -1599.23
Episode: 241, Steps: 200, Sigma: 0.958, Reward: -1654.89
Episode: 242, Steps: 200, Sigma: 0.957, Reward: -1583.61
