Starting training on Pendulum-v1...
State Dim: 3, Action Dim: 1, Max Action: 2.0
Episode: 310, Steps: 200, Total Reward: -1579.04
Episode: 311, Steps: 200, Total Reward: -1668.97
Episode: 312, Steps: 200, Total Reward: -1544.34
Episode: 313, Steps: 200, Total Reward: -1570.66
Episode: 314, Steps: 200, Total Reward: -1625.74
Episode: 315, Steps: 200, Total Reward: -1569.24
Episode: 316, Steps: 200, Total Reward: -1638.33
Episode: 317, Steps: 200, Total Reward: -1645.27
Episode: 318, Steps: 200, Total Reward: -1639.25
Episode: 319, Steps: 200, Total Reward: -1556.63
Episode: 320, Steps: 200, Total Reward: -1601.43
Episode: 321, Steps: 200, Total Reward: -1476.77
Episode: 322, Steps: 200, Total Reward: -1632.73
Episode: 323, Steps: 200, Total Reward: -1581.35
Episode: 324, Steps: 200, Total Reward: -1644.79
Episode: 325, Steps: 200, Total Reward: -1623.23
Episode: 326, Steps: 200, Total Reward: -1677.08
Episode: 327, Steps: 200, Total Reward: -1655.14
Episode: 328, Steps: 200, Total Reward: -1680.45
Episode: 329, Steps: 200, Total Reward: -1565.45
Episode: 330, Steps: 200, Total Reward: -1566.64
Episode: 331, Steps: 200, Total Reward: -1589.61
Episode: 332, Steps: 200, Total Reward: -1579.24
Episode: 333, Steps: 200, Total Reward: -1521.57
Episode: 334, Steps: 200, Total Reward: -1603.99
Episode: 335, Steps: 200, Total Reward: -1630.65
Episode: 336, Steps: 200, Total Reward: -1477.07
Episode: 337, Steps: 200, Total Reward: -1676.11
Episode: 338, Steps: 200, Total Reward: -1607.25
Episode: 339, Steps: 200, Total Reward: -1679.33
Episode: 340, Steps: 200, Total Reward: -1583.72
Episode: 341, Steps: 200, Total Reward: -1628.54
Episode: 342, Steps: 200, Total Reward: -1601.73
Episode: 343, Steps: 200, Total Reward: -1574.12
Episode: 344, Steps: 200, Total Reward: -1652.56
Episode: 345, Steps: 200, Total Reward: -1517.74
Episode: 346, Steps: 200, Total Reward: -1669.46
Episode: 347, Steps: 200, Total Reward: -1681.17
Episode: 348, Steps: 200, Total Reward: -1673.40
Episode: 349, Steps: 200, Total Reward: -1662.21
Episode: 350, Steps: 200, Total Reward: -1617.49
Episode: 351, Steps: 200, Total Reward: -1559.56
Episode: 352, Steps: 200, Total Reward: -1649.56
Episode: 353, Steps: 200, Total Reward: -1616.69
Episode: 354, Steps: 200, Total Reward: -1682.74
Episode: 355, Steps: 200, Total Reward: -1613.02
Episode: 356, Steps: 200, Total Reward: -1573.39
Episode: 357, Steps: 200, Total Reward: -1681.39
Episode: 358, Steps: 200, Total Reward: -1685.12
Episode: 359, Steps: 200, Total Reward: -1568.82
Episode: 360, Steps: 200, Total Reward: -1635.27
Episode: 361, Steps: 200, Total Reward: -1672.31
Episode: 362, Steps: 200, Total Reward: -1672.07
Episode: 363, Steps: 200, Total Reward: -1577.58
Episode: 364, Steps: 200, Total Reward: -1617.61
Episode: 365, Steps: 200, Total Reward: -1631.70
Episode: 366, Steps: 200, Total Reward: -1573.39
Episode: 367, Steps: 200, Total Reward: -1681.83
Episode: 368, Steps: 200, Total Reward: -1579.12
Episode: 369, Steps: 200, Total Reward: -1591.98
Episode: 370, Steps: 200, Total Reward: -1574.02
Episode: 371, Steps: 200, Total Reward: -1670.44
Episode: 372, Steps: 200, Total Reward: -1672.94
Episode: 373, Steps: 200, Total Reward: -1597.64
Episode: 374, Steps: 200, Total Reward: -1677.17
Episode: 375, Steps: 200, Total Reward: -1602.40
Episode: 376, Steps: 200, Total Reward: -1669.32
Episode: 377, Steps: 200, Total Reward: -1635.64
Episode: 378, Steps: 200, Total Reward: -1644.85
Episode: 379, Steps: 200, Total Reward: -1616.01
Episode: 380, Steps: 200, Total Reward: -1666.56
Episode: 381, Steps: 200, Total Reward: -1584.37
Episode: 382, Steps: 200, Total Reward: -1645.50
Episode: 383, Steps: 200, Total Reward: -1618.67
Episode: 384, Steps: 200, Total Reward: -1675.86
Episode: 385, Steps: 200, Total Reward: -1585.54
Episode: 386, Steps: 200, Total Reward: -1624.46
Episode: 387, Steps: 200, Total Reward: -1602.93
Episode: 388, Steps: 200, Total Reward: -1658.78
Episode: 389, Steps: 200, Total Reward: -1572.58
Episode: 390, Steps: 200, Total Reward: -1502.51
Episode: 391, Steps: 200, Total Reward: -1503.22
Episode: 392, Steps: 200, Total Reward: -1596.43
Episode: 393, Steps: 200, Total Reward: -1534.43
Episode: 394, Steps: 200, Total Reward: -1592.03
Episode: 395, Steps: 200, Total Reward: -1601.10
