Starting training on Pendulum-v1...
Episode: 339, Steps: 200, Total Reward: -1699.80
Episode: 340, Steps: 200, Total Reward: -1128.53
Episode: 341, Steps: 200, Total Reward: -1474.79
Episode: 342, Steps: 200, Total Reward: -1353.85
Episode: 343, Steps: 200, Total Reward: -1265.17
Episode: 344, Steps: 200, Total Reward: -1206.00
Episode: 345, Steps: 200, Total Reward: -1324.72
Episode: 346, Steps: 200, Total Reward: -1072.02
Episode: 347, Steps: 200, Total Reward: -971.03
Episode: 348, Steps: 200, Total Reward: -1507.77
Episode: 349, Steps: 200, Total Reward: -1526.75
Episode: 350, Steps: 200, Total Reward: -1385.74
Episode: 351, Steps: 200, Total Reward: -1056.91
Episode: 352, Steps: 200, Total Reward: -1419.55
Episode: 353, Steps: 200, Total Reward: -1114.64
Episode: 354, Steps: 200, Total Reward: -1417.46
Episode: 355, Steps: 200, Total Reward: -1058.72
Episode: 356, Steps: 200, Total Reward: -1152.89
Episode: 357, Steps: 200, Total Reward: -1160.10
Episode: 358, Steps: 200, Total Reward: -1447.62
Episode: 359, Steps: 200, Total Reward: -1417.55
Episode: 360, Steps: 200, Total Reward: -1351.43
Episode: 361, Steps: 200, Total Reward: -1519.75
Episode: 362, Steps: 200, Total Reward: -1020.70
Episode: 363, Steps: 200, Total Reward: -1030.72
Episode: 364, Steps: 200, Total Reward: -876.37
Episode: 365, Steps: 200, Total Reward: -1343.31
Episode: 366, Steps: 200, Total Reward: -1303.97
Episode: 367, Steps: 200, Total Reward: -967.50
Episode: 368, Steps: 200, Total Reward: -1042.99
Episode: 369, Steps: 200, Total Reward: -1289.75
Episode: 370, Steps: 200, Total Reward: -1055.19
Episode: 371, Steps: 200, Total Reward: -1750.59
Episode: 372, Steps: 200, Total Reward: -1423.74
Episode: 373, Steps: 200, Total Reward: -1099.47
Episode: 374, Steps: 200, Total Reward: -1318.06
Episode: 375, Steps: 200, Total Reward: -1507.90
Episode: 376, Steps: 200, Total Reward: -1680.64
Episode: 377, Steps: 200, Total Reward: -1552.14
Episode: 378, Steps: 200, Total Reward: -1170.87
Episode: 379, Steps: 200, Total Reward: -1072.24
Episode: 380, Steps: 200, Total Reward: -980.19
Episode: 381, Steps: 200, Total Reward: -1287.88
Episode: 382, Steps: 200, Total Reward: -1768.18
Episode: 383, Steps: 200, Total Reward: -1489.36
Episode: 384, Steps: 200, Total Reward: -901.89
Episode: 385, Steps: 200, Total Reward: -1397.81
Episode: 386, Steps: 200, Total Reward: -1518.39
Episode: 387, Steps: 200, Total Reward: -1469.98
Episode: 388, Steps: 200, Total Reward: -1194.73
Episode: 389, Steps: 200, Total Reward: -1150.54
Episode: 390, Steps: 200, Total Reward: -1588.70
Episode: 391, Steps: 200, Total Reward: -1336.27
Episode: 392, Steps: 200, Total Reward: -1714.75
Episode: 393, Steps: 200, Total Reward: -1506.50
Episode: 394, Steps: 200, Total Reward: -1064.33
Episode: 395, Steps: 200, Total Reward: -1365.27
Episode: 396, Steps: 200, Total Reward: -1695.20
Episode: 397, Steps: 200, Total Reward: -1212.51
Episode: 398, Steps: 200, Total Reward: -1758.67
Episode: 399, Steps: 200, Total Reward: -1688.68
Episode: 400, Steps: 200, Total Reward: -987.86
Episode: 401, Steps: 200, Total Reward: -1546.01
Episode: 402, Steps: 200, Total Reward: -1503.03
Episode: 403, Steps: 200, Total Reward: -1295.44
Episode: 404, Steps: 200, Total Reward: -1167.07
Episode: 405, Steps: 200, Total Reward: -903.81
Episode: 406, Steps: 200, Total Reward: -887.87
Episode: 407, Steps: 200, Total Reward: -1508.41
Episode: 408, Steps: 200, Total Reward: -1483.88
Episode: 409, Steps: 200, Total Reward: -1022.43
Episode: 410, Steps: 200, Total Reward: -1190.06
Episode: 411, Steps: 200, Total Reward: -1058.66
Episode: 412, Steps: 200, Total Reward: -1045.72
Episode: 413, Steps: 200, Total Reward: -1736.69
Episode: 414, Steps: 200, Total Reward: -1319.02
Episode: 415, Steps: 200, Total Reward: -1179.73
Episode: 416, Steps: 200, Total Reward: -959.55
Episode: 417, Steps: 200, Total Reward: -1381.62
Episode: 418, Steps: 200, Total Reward: -1529.01
Episode: 419, Steps: 200, Total Reward: -1058.32
Episode: 420, Steps: 200, Total Reward: -962.31
Episode: 421, Steps: 200, Total Reward: -887.62
Episode: 422, Steps: 200, Total Reward: -1624.00
Episode: 423, Steps: 200, Total Reward: -1316.19
Episode: 424, Steps: 200, Total Reward: -1289.66
Episode: 425, Steps: 200, Total Reward: -1097.77
Episode: 426, Steps: 200, Total Reward: -909.25
Episode: 427, Steps: 200, Total Reward: -1745.67
Episode: 428, Steps: 200, Total Reward: -1062.13
Episode: 429, Steps: 200, Total Reward: -1312.85
Episode: 430, Steps: 200, Total Reward: -1309.65
Episode: 431, Steps: 200, Total Reward: -1177.21
Episode: 432, Steps: 200, Total Reward: -1175.10
Episode: 433, Steps: 200, Total Reward: -1429.14
Episode: 434, Steps: 200, Total Reward: -1671.90
Episode: 435, Steps: 200, Total Reward: -1058.21
Episode: 436, Steps: 200, Total Reward: -1305.72
Episode: 437, Steps: 200, Total Reward: -1173.84
Episode: 438, Steps: 200, Total Reward: -1693.28
Episode: 439, Steps: 200, Total Reward: -1449.71
Episode: 440, Steps: 200, Total Reward: -1364.77
Episode: 441, Steps: 200, Total Reward: -1498.34
Episode: 442, Steps: 200, Total Reward: -1181.55
Episode: 443, Steps: 200, Total Reward: -967.30
Episode: 444, Steps: 200, Total Reward: -1411.54
Episode: 445, Steps: 200, Total Reward: -1281.86
Episode: 446, Steps: 200, Total Reward: -824.98
Episode: 447, Steps: 200, Total Reward: -1248.48
Episode: 448, Steps: 200, Total Reward: -771.26
Episode: 449, Steps: 200, Total Reward: -1440.61
Episode: 450, Steps: 200, Total Reward: -1082.34
Episode: 451, Steps: 200, Total Reward: -1637.19
Episode: 452, Steps: 200, Total Reward: -1278.84
Episode: 453, Steps: 200, Total Reward: -1346.81
Episode: 454, Steps: 200, Total Reward: -1444.61
Episode: 455, Steps: 200, Total Reward: -856.83
Episode: 456, Steps: 200, Total Reward: -1208.99
Episode: 457, Steps: 200, Total Reward: -877.47
Episode: 458, Steps: 200, Total Reward: -1309.96
Episode: 459, Steps: 200, Total Reward: -1171.92
Episode: 460, Steps: 200, Total Reward: -1554.48
Episode: 461, Steps: 200, Total Reward: -1061.94
Episode: 462, Steps: 200, Total Reward: -1335.13
Episode: 463, Steps: 200, Total Reward: -1719.51
Episode: 464, Steps: 200, Total Reward: -1715.06
Episode: 465, Steps: 200, Total Reward: -1329.76
Episode: 466, Steps: 200, Total Reward: -1470.32
Episode: 467, Steps: 200, Total Reward: -1264.40
Episode: 468, Steps: 200, Total Reward: -1214.96
Episode: 469, Steps: 200, Total Reward: -1451.31
Episode: 470, Steps: 200, Total Reward: -1393.68
Episode: 471, Steps: 200, Total Reward: -1132.28
Episode: 472, Steps: 200, Total Reward: -1207.06
Episode: 473, Steps: 200, Total Reward: -1698.11
Episode: 474, Steps: 200, Total Reward: -1140.55
Episode: 475, Steps: 200, Total Reward: -1256.60
Episode: 476, Steps: 200, Total Reward: -1192.76
Episode: 477, Steps: 200, Total Reward: -1199.43
Episode: 478, Steps: 200, Total Reward: -1063.58
Episode: 479, Steps: 200, Total Reward: -991.38
Episode: 480, Steps: 200, Total Reward: -963.54
